"","actual","trend","pred","lower","upper","date"
"1",340.01,338.264544124595,NA,NA,NA,2016-01-01
"2",340.01,339.000915138357,NA,NA,NA,2016-01-02
"3",340.01,338.58578502484,NA,NA,NA,2016-01-03
"4",340.01,338.903876548587,NA,NA,NA,2016-01-04
"5",340.01,338.659748403167,NA,NA,NA,2016-01-05
"6",343.14,339.016086832054,NA,NA,NA,2016-01-06
"7",345.01,341.444852924889,NA,NA,NA,2016-01-07
"8",345.01,340.965944286626,NA,NA,NA,2016-01-08
"9",351.88,341.573798561237,NA,NA,NA,2016-01-09
"10",351.88,347.13940533461,NA,NA,NA,2016-01-10
"11",351.88,342.15459120122,NA,NA,NA,2016-01-11
"12",356.88,346.737910304806,NA,NA,NA,2016-01-12
"13",365.07,347.23251738799,NA,NA,NA,2016-01-13
"14",364.89,354.254618099655,NA,NA,NA,2016-01-14
"15",365.23,347.662306044197,NA,NA,NA,2016-01-15
"16",360.9,353.997760819079,NA,NA,NA,2016-01-16
"17",360.9,344.167217762397,NA,NA,NA,2016-01-17
"18",360.9,353.2522709603,NA,NA,NA,2016-01-18
"19",374.31,344.918909198327,NA,NA,NA,2016-01-19
"20",377.7,365.106633253861,NA,NA,NA,2016-01-20
"21",374.6,349.488445909322,NA,NA,NA,2016-01-21
"22",383.91,361.17032516123,NA,NA,NA,2016-01-22
"23",381.16,358.952920366982,NA,NA,NA,2016-01-23
"24",381.16,358.457120715213,NA,NA,NA,2016-01-24
"25",381.16,358.920301995736,NA,NA,NA,2016-01-25
"26",372.89,358.469440681195,NA,NA,NA,2016-01-26
"27",380.3,351.179159973128,NA,NA,NA,2016-01-27
"28",375.49,364.913461095486,NA,NA,NA,2016-01-28
"29",371.55,347.56315801524,NA,NA,NA,2016-01-29
"30",364.79,360.102299601973,NA,NA,NA,2016-01-30
"31",364.79,342.037304417064,NA,NA,NA,2016-01-31
"32",364.79,358.952970198055,NA,NA,NA,2016-02-01
"33",360.45,343.105149245774,NA,NA,NA,2016-02-02
"34",369.15,353.893765236027,NA,NA,NA,2016-02-03
"35",375.25,351.941001680347,NA,NA,NA,2016-02-04
"36",363.34,359.481293993559,NA,NA,NA,2016-02-05
"37",363.72,341.248131554257,NA,NA,NA,2016-02-06
"38",363.72,358.699521570809,NA,NA,NA,2016-02-07
"39",363.72,342.335314698419,NA,NA,NA,2016-02-08
"40",359.89,357.680518652554,NA,NA,NA,2016-02-09
"41",360.37,339.696059181123,NA,NA,NA,2016-02-10
"42",362.23,357.01624254193,NA,NA,NA,2016-02-11
"43",360.31,342.513012981108,NA,NA,NA,2016-02-12
"44",368.17,354.319622095412,NA,NA,NA,2016-02-13
"45",368.17,350.616957664483,NA,NA,NA,2016-02-14
"46",368.17,354.090996055305,NA,NA,NA,2016-02-15
"47",362.1,350.830416125793,NA,NA,NA,2016-02-16
"48",357.71,348.193665630876,NA,NA,NA,2016-02-17
"49",359.23,346.548668849088,NA,NA,NA,2016-02-18
"50",350.58,349.517788125147,NA,NA,NA,2016-02-19
"51",355.45,338.614586154516,NA,NA,NA,2016-02-20
"52",355.45,353.416920592693,NA,NA,NA,2016-02-21
"53",355.45,339.525397066821,NA,NA,NA,2016-02-22
"54",351.77,352.562186137023,NA,NA,NA,2016-02-23
"55",348.69,336.87325120825,NA,NA,NA,2016-02-24
"56",348.96,348.706977736933,NA,NA,NA,2016-02-25
"57",350.25,337.85412634995,NA,NA,NA,2016-02-26
"58",349.82,349.250683117602,NA,NA,NA,2016-02-27
"59",349.82,338.150853858517,NA,NA,NA,2016-02-28
"60",349.82,348.568711249633,NA,NA,NA,2016-02-29
"61",348.78,338.790822103402,NA,NA,NA,2016-03-01
"62",347.96,346.991962384395,NA,NA,NA,2016-03-02
"63",346.56,338.524871413118,NA,NA,NA,2016-03-03
"64",345.65,345.157924018354,NA,NA,NA,2016-03-04
"65",345.22,338.078084492045,NA,NA,NA,2016-03-05
"66",345.02,344.319581486833,NA,NA,NA,2016-03-06
"67",345.02,338.273608784468,NA,NA,NA,2016-03-07
"68",345.02,343.948363050866,NA,NA,NA,2016-03-08
"69",345.02,338.622019701371,NA,NA,NA,2016-03-09
"70",344.8,343.621355065371,NA,NA,NA,2016-03-10
"71",344.19,338.722441036815,NA,NA,NA,2016-03-11
"72",343.92,342.748056439994,NA,NA,NA,2016-03-12
"73",343.92,338.716142534929,NA,NA,NA,2016-03-13
"74",343.92,342.500549382495,NA,NA,NA,2016-03-14
"75",343.32,338.948448599525,NA,NA,NA,2016-03-15
"76",343.23,341.719335597277,NA,NA,NA,2016-03-16
"77",346.61,339.034071910999,NA,NA,NA,2016-03-17
"78",346.05,344.727031620957,NA,NA,NA,2016-03-18
"79",345.73,338.857889994743,NA,NA,NA,2016-03-19
"80",345.73,344.066418387279,NA,NA,NA,2016-03-20
"81",345.73,339.177592985244,NA,NA,NA,2016-03-21
"82",345.73,343.766341716197,NA,NA,NA,2016-03-22
"83",345.73,339.459248893601,NA,NA,NA,2016-03-23
"84",345.73,343.501975638549,NA,NA,NA,2016-03-24
"85",346.97,339.707388565586,NA,NA,NA,2016-03-25
"86",343.83,344.432956472493,NA,NA,NA,2016-03-26
"87",343.83,337.050163674395,NA,NA,NA,2016-03-27
"88",343.83,343.979815156246,NA,NA,NA,2016-03-28
"89",340.15,337.475487817841,NA,NA,NA,2016-03-29
"90",341.51,340.126465557797,NA,NA,NA,2016-03-30
"91",343.06,338.914725668168,NA,NA,NA,2016-03-31
"92",343.62,341.506957699446,NA,NA,NA,2016-04-01
"93",342.49,339.599457830623,NA,NA,NA,2016-04-02
"94",342.49,340.329237051891,NA,NA,NA,2016-04-03
